grupos_classificados,jogo_74,jogo_77,jogo_79,jogo_80,jogo_81,jogo_82,jogo_85,jogo_87
ABCDEFGH,A,C,F,E,B,H,G,D
ABCDEFGI,A,C,F,E,B,I,G,D
ABCDEFGJ,A,C,F,E,B,J,G,D
ABCDEFGK,A,C,F,K,B,E,G,D
ABCDEFGL,B,D,C,E,F,A,G,L
ABCDEFHI,A,C,E,H,B,I,F,D
ABCDEFHJ,A,C,E,H,B,J,F,D
ABCDEFHK,A,C,E,K,B,H,F,D
ABCDEFHL,A,D,C,E,B,H,F,L
ABCDEFIJ,A,C,E,I,B,J,F,D
ABCDEFIK,A,C,E,K,B,I,F,D
ABCDEFIL,A,D,C,E,B,I,F,L
ABCDEFJK,A,C,E,K,B,J,F,D
ABCDEFJL,A,D,C,E,B,J,F,L
ABCDEFKL,A,D,C,K,B,E,F,L
ABCDEGHI,A,C,E,H,B,I,G,D
ABCDEGHJ,A,C,E,H,B,J,G,D
ABCDEGHK,A,C,E,K,B,H,G,D
ABCDEGHL,A,D,C,E,B,H,G,L
ABCDEGIJ,A,C,E,I,B,J,G,D
ABCDEGIK,A,C,E,K,B,I,G,D
ABCDEGIL,A,D,C,E,B,I,G,L
ABCDEGJK,A,C,E,K,B,J,G,D
ABCDEGJL,A,D,C,E,B,J,G,L
ABCDEGKL,A,D,C,K,B,E,G,L
ABCDEHIJ,A,C,E,H,B,I,J,D
ABCDEHIK,A,C,E,K,B,H,I,D
ABCDEHIL,A,D,C,E,B,H,I,L
ABCDEHJK,A,C,E,K,B,H,J,D
ABCDEHJL,A,D,C,E,B,H,J,L
ABCDEHKL,A,D,C,K,B,H,E,L
ABCDEIJK,A,C,E,K,B,I,J,D
ABCDEIJL,A,D,C,E,B,I,J,L
ABCDEIKL,A,D,C,K,B,E,I,L
ABCDEJKL,A,D,C,K,B,E,J,L
ABCDFGHI,A,C,F,H,B,I,G,D
ABCDFGHJ,A,C,F,H,B,J,G,D
ABCDFGHK,A,C,F,K,B,H,G,D
ABCDFGHL,B,D,C,H,F,A,G,L
ABCDFGIJ,A,C,F,I,B,J,G,D
ABCDFGIK,A,C,F,K,B,I,G,D
ABCDFGIL,B,D,C,I,F,A,G,L
ABCDFGJK,A,C,F,K,B,J,G,D
ABCDFGJL,B,D,C,J,F,A,G,L
ABCDFGKL,B,D,C,K,F,A,G,L
ABCDFHIJ,A,C,F,H,B,I,J,D
ABCDFHIK,A,C,F,K,B,H,I,D
ABCDFHIL,A,D,C,H,B,I,F,L
ABCDFHJK,A,C,F,K,B,H,J,D
ABCDFHJL,A,D,C,H,B,J,F,L
ABCDFHKL,A,D,C,K,B,H,F,L
ABCDFIJK,A,C,F,K,B,I,J,D
ABCDFIJL,A,D,C,I,B,J,F,L
ABCDFIKL,A,D,C,K,B,I,F,L
ABCDFJKL,A,D,C,K,B,J,F,L
ABCDGHIJ,A,C,H,I,B,J,G,D
ABCDGHIK,A,C,H,K,B,I,G,D
ABCDGHIL,A,D,C,H,B,I,G,L
ABCDGHJK,A,C,H,K,B,J,G,D
ABCDGHJL,A,D,C,H,B,J,G,L
ABCDGHKL,A,D,C,K,B,H,G,L
ABCDGIJK,A,C,I,K,B,J,G,D
ABCDGIJL,A,D,C,I,B,J,G,L
ABCDGIKL,A,D,C,K,B,I,G,L
ABCDGJKL,A,D,C,K,B,J,G,L
ABCDHIJK,A,C,H,K,B,I,J,D
ABCDHIJL,A,D,C,H,B,I,J,L
ABCDHIKL,A,D,C,K,B,H,I,L
ABCDHJKL,A,D,C,K,B,H,J,L
ABCDIJKL,A,D,C,K,B,I,J,L
ABCEFGHI,A,C,F,E,B,H,G,I
ABCEFGHJ,A,C,F,E,B,H,G,J
ABCEFGHK,A,C,F,K,B,H,G,E
ABCEFGHL,A,C,F,E,B,H,G,L
ABCEFGIJ,A,C,F,E,B,I,G,J
ABCEFGIK,A,C,F,K,B,E,G,I
ABCEFGIL,A,C,F,E,B,I,G,L
